1780375693.9662867,"{0: {'lag_delta': 0.0, 'pps_delta': -0.00017894548204822058}}"
1780375698.9774323,"{0: {'lag_delta': 0.0, 'pps_delta': -0.00016267771138700482}}"
1780375703.9912472,"{0: {'lag_delta': 0.0, 'pps_delta': -0.00014788882856464625}}"
1780375709.0025692,"{0: {'lag_delta': 0.0, 'pps_delta': -0.000134444389118471}}"
1780375714.0135105,"{0: {'lag_delta': 0.0, 'pps_delta': -0.00012222217219459708}}"
1780375719.024351,"{0: {'lag_delta': 0.0, 'pps_delta': -0.00011111106528005621}}"
1780375724.0333173,"{0: {'lag_delta': 0.0, 'pps_delta': -0.00010101005932483531}}"
1780375729.0405128,"{0: {'lag_delta': 0.0, 'pps_delta': -9.182732708268304e-05}}"
1780375734.0518134,"{0: {'lag_delta': 0.0, 'pps_delta': -8.347938819497358e-05}}"
1780375739.0635982,"{0: {'lag_delta': 0.0, 'pps_delta': -7.589035271848843e-05}}"
1780375744.075578,"{0: {'lag_delta': 0.0, 'pps_delta': -6.899122968206939e-05}}"
1780375749.0866272,"{0: {'lag_delta': 0.0, 'pps_delta': -6.271929987633484e-05}}"
1780375754.0950933,"{0: {'lag_delta': 0.0, 'pps_delta': -5.701754537312809e-05}}"
1780375759.1057668,"{0: {'lag_delta': 0.0, 'pps_delta': -5.1834132250405673e-05}}"
1780375764.113666,"{0: {'lag_delta': 0.0, 'pps_delta': -4.712193845080037e-05}}"
1780375769.125528,"{0: {'lag_delta': 0.0, 'pps_delta': -4.2838125750677136e-05}}"
1780375774.1380463,"{0: {'lag_delta': 0.0, 'pps_delta': -3.894375049640075e-05}}"
1780375779.150427,"{0: {'lag_delta': 0.0, 'pps_delta': -3.5403409356149496e-05}}"
1780375784.1601443,"{0: {'lag_delta': 0.0, 'pps_delta': -3.218491781353805e-05}}"
1780375789.171905,"{0: {'lag_delta': 0.0, 'pps_delta': -2.925901640082884e-05}}"
1780375794.1837056,"{0: {'lag_delta': 0.0, 'pps_delta': -2.6599105694913305e-05}}"
1780375799.1957188,"{0: {'lag_delta': 0.0, 'pps_delta': -2.418100518752908e-05}}"
1780375804.207036,"{0: {'lag_delta': 0.0, 'pps_delta': -2.198273216436064e-05}}"
1780375809.2179978,"{0: {'lag_delta': 0.0, 'pps_delta': -1.998430172989174e-05}}"
1780375814.2274323,"{0: {'lag_delta': 0.0, 'pps_delta': -1.8167546727454464e-05}}"
1780375819.2385836,"{0: {'lag_delta': 0.0, 'pps_delta': -1.6515951983819832e-05}}"
1780375824.2496784,"{0: {'lag_delta': 0.0, 'pps_delta': -1.5014502082522085e-05}}"
1780375829.2612932,"{0: {'lag_delta': 0.0, 'pps_delta': -1.3649546986016503e-05}}"
1780375834.2724366,"{0: {'lag_delta': 0.0, 'pps_delta': -1.2408679026520986e-05}}"
1780375839.2818696,"{0: {'lag_delta': 0.0, 'pps_delta': -1.1280617286502093e-05}}"
1780375844.2907734,"{0: {'lag_delta': 0.0, 'pps_delta': -1.0255106758449983e-05}}"
1780375849.3018095,"{0: {'lag_delta': 0.0, 'pps_delta': -9.322824439550459e-06}}"
1780375854.312218,"{0: {'lag_delta': 0.0, 'pps_delta': -8.475294748677697e-06}}"
1780375859.3242807,"{0: {'lag_delta': 0.0, 'pps_delta': -7.704813583586656e-06}}"
1780375864.3355317,"{0: {'lag_delta': 0.0, 'pps_delta': -7.004375788710604e-06}}"
1780375869.3498442,"{0: {'lag_delta': 0.0, 'pps_delta': -6.3676142190161045e-06}}"
1780375874.3607929,"{0: {'lag_delta': 0.0, 'pps_delta': -5.788740395473724e-06}}"
1780375879.370564,"{0: {'lag_delta': 0.0, 'pps_delta': -5.26249118593114e-06}}"
1780375884.3827143,"{0: {'lag_delta': 0.0, 'pps_delta': -4.78408298931754e-06}}"
1780375889.395322,"{0: {'lag_delta': 0.0, 'pps_delta': -4.349166488282208e-06}}"
1780375894.408006,"{0: {'lag_delta': 0.0, 'pps_delta': -3.953787427235511e-06}}"
1780375899.4191527,"{0: {'lag_delta': 0.0, 'pps_delta': -3.594352165237069e-06}}"
1780375904.4301436,"{0: {'lag_delta': 0.0, 'pps_delta': -3.2675930015102495e-06}}"
1780375909.4422991,"{0: {'lag_delta': 0.0, 'pps_delta': -2.9705391852985485e-06}}"
1780375914.4519129,"{0: {'lag_delta': 0.0, 'pps_delta': -2.700490199458727e-06}}"
1780375919.4641442,"{0: {'lag_delta': 0.0, 'pps_delta': -2.4549912041038624e-06}}"
1780375924.4768326,"{0: {'lag_delta': 0.0, 'pps_delta': -2.2318098444884527e-06}}"
1780375929.4884627,"{0: {'lag_delta': 0.0, 'pps_delta': -2.0289179474275443e-06}}"
1780375934.4985838,"{0: {'lag_delta': 0.0, 'pps_delta': -1.8444712850396172e-06}}"
1780375939.5092423,"{0: {'lag_delta': 0.0, 'pps_delta': -1.6767919532867381e-06}}"
1780375944.5207858,"{0: {'lag_delta': 0.0, 'pps_delta': -1.524356321169762e-06}}"
1780375949.5335689,"{0: {'lag_delta': 0.0, 'pps_delta': -1.3857784324500244e-06}}"
1780375954.5476017,"{0: {'lag_delta': 0.0, 'pps_delta': -1.2597984095918946e-06}}"
1780375959.5600083,"{0: {'lag_delta': 0.0, 'pps_delta': -1.145271312452678e-06}}"
1780375964.5703259,"{0: {'lag_delta': 0.0, 'pps_delta': -1.041155769598845e-06}}"
1780375969.5827475,"{0: {'lag_delta': 0.0, 'pps_delta': -9.465052244195249e-07}}"
1780375974.5918038,"{0: {'lag_delta': 0.0, 'pps_delta': -8.604595223005163e-07}}"
1780375979.6027179,"{0: {'lag_delta': 0.0, 'pps_delta': -7.822359293641057e-07}}"
1780375984.6117144,"{0: {'lag_delta': 0.0, 'pps_delta': -7.111235618140199e-07}}"
1780376257.0581834,"{0: {'lag_delta': 0.0, 'pps_delta': 0.0}}"
1780376262.068139,"{0: {'lag_delta': 0.0, 'pps_delta': -87.27272727272725}}"
1780376267.0798316,"{0: {'lag_delta': 0.0, 'pps_delta': -166.61157024793397}}"
1780376272.0912678,"{0: {'lag_delta': 0.0, 'pps_delta': -151.46506386175815}}"
1780376277.1020596,"{0: {'lag_delta': 0.0, 'pps_delta': -137.695512601598}}"
1780376282.113269,"{0: {'lag_delta': 0.0, 'pps_delta': -125.17773872872567}}"
1780376287.1247892,"{0: {'lag_delta': 0.0, 'pps_delta': -113.79794429884168}}"
1780376292.1345658,"{0: {'lag_delta': 0.0, 'pps_delta': -103.45267663531058}}"
1780376297.1463156,"{0: {'lag_delta': 0.0, 'pps_delta': -94.04788785028245}}"
1780376302.1577344,"{0: {'lag_delta': 0.0, 'pps_delta': -85.49807986389283}}"
1780376307.169062,"{0: {'lag_delta': 0.0, 'pps_delta': -77.72552714899325}}"
1780376312.1807237,"{0: {'lag_delta': 0.0, 'pps_delta': -70.6595701354488}}"
1780376317.1937325,"{0: {'lag_delta': 0.0, 'pps_delta': -64.23597285040819}}"
1780376322.2077067,"{0: {'lag_delta': 0.0, 'pps_delta': -58.39633895491602}}"
1780376327.2230852,"{0: {'lag_delta': 0.0, 'pps_delta': -53.08758086810553}}"
1780376332.235648,"{0: {'lag_delta': 0.0, 'pps_delta': -48.261437152823646}}"
1780376337.247472,"{0: {'lag_delta': 0.0, 'pps_delta': -43.874033775294265}}"
1780376342.2576113,"{0: {'lag_delta': 0.0, 'pps_delta': -39.885485250267266}}"
1780376347.2701259,"{0: {'lag_delta': 0.0, 'pps_delta': -36.25953204569737}}"
1780376352.2793946,"{0: {'lag_delta': 0.0, 'pps_delta': -32.96321095063422}}"
1780376357.2909899,"{0: {'lag_delta': 0.0, 'pps_delta': -29.96655540966708}}"
1780376362.3002737,"{0: {'lag_delta': 0.0, 'pps_delta': -27.242323099697614}}"
1780376367.3124905,"{0: {'lag_delta': 0.0, 'pps_delta': -24.765748272452583}}"
1780376372.3249257,"{0: {'lag_delta': 0.0, 'pps_delta': -22.514316611320282}}"
1780376377.3373806,"{0: {'lag_delta': 0.0, 'pps_delta': -20.467560555745877}}"
1780376382.3473525,"{0: {'lag_delta': 0.0, 'pps_delta': -18.6068732324959}}"
1780376387.3585198,"{0: {'lag_delta': 0.0, 'pps_delta': -16.915339302269103}}"
1780376392.3703234,"{0: {'lag_delta': 0.0, 'pps_delta': -15.377581183881603}}"
1780376397.381036,"{0: {'lag_delta': 0.0, 'pps_delta': -13.979619258073399}}"
1780376402.3923082,"{0: {'lag_delta': 0.0, 'pps_delta': -12.708744780066581}}"
1780376407.4038851,"{0: {'lag_delta': 0.0, 'pps_delta': -11.553404345516128}}"
1780376412.4128685,"{0: {'lag_delta': 0.0, 'pps_delta': -10.503094859559269}}"
1780376417.4249573,"{0: {'lag_delta': 0.0, 'pps_delta': -9.5482680541445}}"
1780376422.437033,"{0: {'lag_delta': 0.0, 'pps_delta': -8.680243685586902}}"
1780376427.4466844,"{0: {'lag_delta': 0.0, 'pps_delta': -7.8911306232607785}}"
1780376432.4587271,"{0: {'lag_delta': 0.0, 'pps_delta': -7.173755112054778}}"
1780376437.4688785,"{0: {'lag_delta': 0.0, 'pps_delta': -6.521595556413558}}"
1780376442.4793193,"{0: {'lag_delta': 0.0, 'pps_delta': -5.928723233103483}}"
1780376447.4919558,"{0: {'lag_delta': 0.0, 'pps_delta': -5.389748393730315}}"
1780376452.5163844,"{0: {'lag_delta': 0.0, 'pps_delta': -4.89977126702729}}"
1780376457.536071,"{0: {'lag_delta': 0.0, 'pps_delta': -4.45433751547921}}"
1780376462.5542932,"{0: {'lag_delta': 0.0, 'pps_delta': -4.049397741344819}}"
1780376467.572465,"{0: {'lag_delta': 0.0, 'pps_delta': -3.6812706739501664}}"
1780376472.5884185,"{0: {'lag_delta': 0.0, 'pps_delta': -3.346609703590957}}"
